Inventory,title,alt,coordsX,coordsY,coordsZ,onmouseover
Q0475905,0.49 J VS1,0.49 J VS1,634,53,17,0.49 J VS1
Q0464777,0.47 I VVS2,0.47 I VVS2,592,66,25,0.47 I VVS2
Q0466712,0.47 I VS2,0.47 I VS2,546,75,25,0.47 I VS2
Q0464692,0.46 I VVS2,0.46 I VVS2,506,93,23,0.46 I VVS2
Q0574BBH,0.5 J VVS2,0.5 J VVS2,465,112,24,0.5 J VVS2
Q0563BBP,0.51 I VVS1,0.51 I VVS1,425,132,21,0.51 I VVS1
Q0573BBB,0.5 J VVS1,0.5 J VVS1,391,154,23,0.5 J VVS1
Q0476889,0.48 J VS2,0.48 J VS2,361,188,28,0.48 J VS2
Q0563BBL,0.5 I VVS1,0.5 I VVS1,320,222,26,0.5 I VVS1
Q0576BBB,0.51 J VS2,0.51 J VS2,285,258,25,0.51 J VS2
Q0563BBQ,0.52 I VVS1,0.52 I VVS1,256,290,23,0.52 I VVS1
Q0573200,0.52 J VVS1,0.52 J VVS1,234,323,24,0.52 J VVS1
Q0563BBN,0.51 I VVS1,0.51 I VVS1,214,355,21,0.51 I VVS1
Q0575557,0.52 J VS1,0.52 J VS1,189,390,24,0.52 J VS1
Q0565BBC,0.5 I VS1,0.5 I VS1,166,432,25,0.5 I VS1
Q0565BBJ,0.51 I VS1,0.51 I VS1,150,474,22,0.51 I VS1
Q0573100,0.51 J VVS1,0.51 J VVS1,134,515,25,0.51 J VVS1
Q0574BBK,0.52 J VVS2,0.52 J VVS2,125,557,24,0.52 J VVS2
Q0566BBF,0.5 I VS2,0.5 I VS2,114,604,25,0.5 I VS2
Q0564171,0.51 I VVS2,0.51 I VVS2,104,642,22,0.51 I VVS2
Q0563BBV,0.53 I VVS1,0.53 I VVS1,94,684,24,0.53 I VVS1
Q0563BBR,0.52 I VVS1,0.52 I VVS1,94,731,25,0.52 I VVS1
Q0566BBD,0.5 I VS2,0.5 I VS2,97,783,25,0.5 I VS2
Q0565387,0.53 I VS1,0.53 I VS1,96,825,24,0.53 I VS1n
Q0565548,0.55 I VS1,0.55 I VS1,100,871,27,0.55 I VS1
Q0565248,0.52 I VS1,0.52 I VS1,112,915,23,0.52 I VS1
Q0566BBG,0.54 I VS2,0.54 I VS2,120,958,25,0.54 I VS2
Q0563570,0.55 I VVS1,0.55 I VVS1,138,1005,24,0.55 I VVS1
Q0575215,0.52 J VS1,0.52 J VS1,149,1048,30,0.52 J VS1
Q0565800,0.58 I VS1,0.58 I VS1,167,1088,25,0.58 I VS1
Q0576751,0.57 J VS2,0.57 J VS2,193,1125,26,0.57 J VS2
Q0663215,0.62 I VVS1,0.62 I VVS1,214,1171,24,0.62 I VVS1
Q0673222,0.62 J VVS1,0.62 J VVS1,243,1213,26,0.62 J VVS1
Q0773067,0.7 J VVS1,0.7 J VVS1,275,1247,25,0.7 J VVS1
Q0775261,0.72 J VS1,0.72 J VS1,313,1290,31,0.72 J VS1
