Inventory #,Size,Color,Clarity,Lab,Certificate Number,Length,Width,Depth
Q2546322,2.53,G,VS2,FDI,23862921,8.09,8.09,5.32
Q1546136,1.51,G,VS2,GIA,2486613936,6.54,6.52,4.35
Q1544119,1.51,G,VVS2,GIA,6481663619,6.5,6.49,4.44
Q1146467,1.14,G,VS2,GIA,6224764967,6.17,5.98,4.06
Q1145000,1.1,G,VS1,FDI,76772137,6.24,5.99,3.97
Q1045323,1.03,G,VS1,GIA,6223764962,5.96,5.75,3.91
Q1043018,1,G,VVS1,GIA,5222803318,6.05,5.78,3.87
Q1027154,1.01,E,SI1,FDI,6059599,5.86,5.82,3.92
Q1026000,1,E,VS2,FDI,19571925,5.85,5.84,3.94
Q09456524,0.95,G,VS2,GIA,6237145424,5.78,5.76,3.86
Q0945062,0.9,G,VS1,FDI,26939051,5.59,5.57,3.73
Q0945014,0.9,G,VS1,GIA,2203993914,5.73,5.72,3.76
Q0936777,0.9,F,VS2,GIA,2185390372,5.69,5.53,3.77
Q0926438,0.94,E,VS2,GIA,6227479738,5.83,5.6,3.8
Q0926356,0.93,E,VS2,GIA,2191276856,5.72,5.71,3.82
Q0925069,0.9,E,VS1,GIA,2225738569,5.67,5.64,3.71
Q0922578,0.95,E,IF,GIA,5192202378,5.83,5.63,3.85
Q0846672,0.86,G,VS2,GIA,2221640772,5.52,5.51,3.74
Q0846157,0.81,G,VS2,GIA,2221530557,5.47,5.45,3.64
Q0846061,0.8,G,VS2,GIA,2225530961,5.46,5.46,3.67
Q0845500,0.85,G,VS1,FDI,80272793,5.55,5.47,3.72
Q0845200,0.82,G,VS1,GIA,5221531000,5.58,5.41,3.65
Q0836646,0.86,F,VS2,GIA,6192748946,5.58,5.56,3.69
Q0836319,0.83,F,VS2,GIA,2191800019,5.63,5.4,3.67
Q0833086,0.8,F,VVS1,GIA,2195301486,5.52,5.5,3.58
Q0826508,0.85,E,VS2,GIA,5201897308,5.62,5.38,3.68
Q0825377,0.83,E,VS1,FDI,37368071,5.36,5.59,3.65
